CourseID,CourseName,CourseType,CourseCredit,CourseDesc
3DTX011,3D图象处理与虚拟现实,D2,1.5,Good
BGZD011,办公自动化,C,2,Good
BYYL011,编译原理,C,3,Good
C++CXSX011,C++程序设计实习,C,1,Good
CHYS005,插花艺术,E,2,Good
CWGL012,财务管理,E,2,Good
CZXT004,操作系统原理,C,2.5,Good
DLDZ001,电路与电子技术,B,4.5,Good
DLJC001,电路基础,B,4.5,Good
DLJC002,电路基础,B,4.5,Good
DPJJSX011,单片机基础实习,D12,1,Good
DXPL002,邓小平理论,A,3,Good
DXSWS001,大学生卫生健康教育,A,1,Good
DXSWS20,大学生卫生健康教育,A,1,Good
DXYW001,大学语文,A,3,Good
DXYW002,大学语文,A,3,Good
DZJS009,电子技术,C,4.5,Good
DZJS011,电子技术,C,4.5,Good
DZJSSX009,电子技术实习,C,2,Good
DZJSSX011,电子技术实习,C,2,Good
DZSL011,电磁场理论及应用,C,2,Good
DZSW012,电子商务,E,2,Good
E0102,生态伦理学概论,E,2,Good
E0103,知识产权保护法,E,2,Good
E0104,心理健康教育,E,2,Good
E0105,当代中国政治建设,E,2,Good
E0106,诉讼法概论,E,2,Good
E0108,情报科学,E,2,Good
E0112,青年心理学,E,2,Good
E0113,科技与社会概论,E,2,Good
E0114,商法选讲,E,2,Good
E0116,创造学,E,2,Good
E0117,法学阐微,E,2,Good
E0119,合同法,E,2,Good
E0121,当代西方国家政治制度比较,E,2,Good
E0122,当代世界经济与政治,E,2,Good
E0123,乡村社会学,E,2,Good
E0125,政治学基础,E,2,Good
E0126,科学技术发展简史,E,2,Good
E0127,人类生态学,E,2,Good
E0128,普通心理学,E,2,Good
E0129,西方哲学史概论,E,2,Good
E0130,婚姻家庭继承法律制度,E,2,Good
E0131,行政法学,E,2,Good
E0133,公司法律制度,E,2,Good
E0201,应用写作,E,2,Good
E0204,西方文化入门,E,2,Good
E0205,古典诗词欣赏,E,2,Good
E0206,公共关系学,E,2,Good
